id,name,description,latitude,longitude,city,region,category,activities,estimated_cost,avg_duration_hours,mood_tags,rating
1,Baltit Fort,A 700-year-old fort perched above Karimabad offering panoramic views of Hunza Valley and surrounding peaks.,36.325584,74.669800,Karimabad,Gilgit-Baltistan,Fort,Photography; Sightseeing; History Tours; Museum Visit,700 PKR,2,family; couple; cultural; educational,4.6
2,Altit Fort,One of the oldest forts in Gilgit-Baltistan dating back over 1100 years with a restored garden and museum.,36.316593,74.682175,Karimabad,Gilgit-Baltistan,Fort,Photography; Sightseeing; Walking; History Tours; Museum Visit,500 PKR,1.5,family; couple; cultural; educational; romantic,4.5
3,Eagle's Nest Viewpoint,"A famous viewpoint above Duikar offering breathtaking sunrise views of Rakaposhi, Diran, and Lady Finger peaks.",36.323873,74.690502,Karimabad,Gilgit-Baltistan,Viewpoint,Photography; Sightseeing; Sunrise Viewing,0 PKR,1.5,couple; solo; romantic; peaceful; meditative,4.3
4,Attabad Lake,"A stunning turquoise lake formed in 2010 by a massive landslide, now a popular spot for boating and jetskiing.",36.308414,74.807465,Hunza,Gilgit-Baltistan,Lake,Photography; Sightseeing; Boating; Jetskiing; Picnicking,3000 PKR,3,family; friends; couple; adventurous; thrilling,4.6
5,Passu Cones,"Dramatic cathedral-shaped peaks also known as Passu Cathedral or Tupopdan, iconic to the Karakoram Highway.",36.455240,74.901634,Passu,Gilgit-Baltistan,Mountain,Trekking; Hiking; Photography,0 PKR,1,solo; couple; peaceful; meditative,4.8
6,Passu Suspension Bridge,"A thrilling rope bridge swaying over the Hunza River, one of the most photographed bridges in Pakistan.",36.447549,74.900528,Passu,Gilgit-Baltistan,Bridge,Photography; Walking,0 PKR,0.5,friends; solo; adventurous; thrilling,4.8
7,Hussaini Suspension Bridge,One of the world's most dangerous hanging bridges stretching over Borit Lake near Passu.,36.47276,74.89443,Passu,Gilgit-Baltistan,Bridge,Photography; Walking,0 PKR,0.5,friends; solo; adventurous; thrilling,4.8
8,Borith Lake,"A serene glacial lake near Passu surrounded by mountains, popular for birdwatching and camping.",36.430187,74.862785,Passu,Gilgit-Baltistan,Lake,Camping; Photography; Sightseeing; Birdwatching,500 PKR,2,family; friends; relaxed; peaceful,4.3
9,Karimabad Bazaar,"The main market street of Karimabad offering local handicrafts, gemstones, dry fruits, and traditional Hunza cuisine.",36.322635,74.669868,Karimabad,Gilgit-Baltistan,Market,White-water Rafting; Shopping; Food Tasting,500 PKR,2,family; friends; couple; laid-back; festive,4.6
10,Ganish Village,An ancient settlement on the Silk Road with over 400-year-old watchtowers and carved wooden mosques.,36.327056,74.659336,Karimabad,Gilgit-Baltistan,Historical Site,Photography; Sightseeing; History Tours,0 PKR,1.5,family; couple; cultural; educational; peaceful,4.6
